Iteration,Score,Change,Accepted,CurrentParams
1,0.8833,AggressionThresholds[2] → 0.554,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
2,0.95,RaiseStackFraction → 0.469,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
3,0.9,RaiseStackFraction → 0.434,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
4,0.95,AggressionThresholds[0] → 0.683,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
5,0.85,RaiseStackFraction → 0.417,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
6,0.9,CallThresholdMargin → 0.003,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
7,0.95,CallThresholdMargin → 0.061,NO,"{'AggressionThresholds': [0.726, 0.439, 0.597, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
8,1.0,AggressionThresholds[2] → 0.592,YES,"{'AggressionThresholds': [0.726, 0.439, 0.592, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
9,0.95,BluffProbability → 0.001,NO,"{'AggressionThresholds': [0.726, 0.439, 0.592, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
10,0.8833,AggressionThresholds[1] → 0.464,NO,"{'AggressionThresholds': [0.726, 0.439, 0.592, 0.465], 'CallThresholdMargin': 0.013, 'RaiseStackFraction': 0.45, 'BluffProbability': 0.017}"
