Iteration,Aggression[3],AverageWinrate,Temperature
0,0.5,0.9133333333333334,1.0
1,0.506,0.9199999999999999,0.97
2,0.533,0.9400000000000001,0.9409
3,0.51,0.9533333333333333,0.91267
4,0.5,0.9133333333333334,0.88529
5,0.525,0.9133333333333334,0.85873
6,0.541,0.8933333333333334,0.83297
7,0.555,0.94,0.80798
8,0.578,0.94,0.78374
9,0.576,0.9066666666666666,0.76023
10,0.546,0.94,0.73742
11,0.572,0.94,0.7153
12,0.548,0.96,0.69384
13,0.55,0.8933333333333332,0.67303
14,0.525,0.9333333333333332,0.65284
15,0.541,0.9,0.63325
16,0.569,0.9266666666666667,0.61425
17,0.597,0.9266666666666667,0.59583
18,0.583,0.9666666666666667,0.57795
19,0.594,0.8866666666666667,0.56061
20,0.597,0.9066666666666666,0.54379
21,0.6,0.9066666666666666,0.52748
22,0.584,0.94,0.51166
23,0.558,0.9133333333333334,0.49631
24,0.555,0.8866666666666667,0.48142
25,0.54,0.9199999999999999,0.46697
26,0.522,0.9333333333333332,0.45297
27,0.551,0.9533333333333333,0.43938
28,0.558,0.8866666666666667,0.4262
29,0.567,0.9266666666666667,0.41341
30,0.593,0.9266666666666666,0.40101
